Ngày,N?i dung,Volume,Payment,Source,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,N?m,2200,Hi?n,IDC,,,,,,,,,,,,,
,Ch?n m?n,1035,Hi?n,CC - Shopee,,,,,,,,,,,,,
,G??ng,735,Hi?n,CC - Shopee,,,,,,,,,,,,,
,Ru?t g?i sofa,84,Hi?n,CC - Shopee,,,,,,,,,,,,,
,V? g?i,374,Hi?n,IDC - Nga Shopee,,,,,,,,,,,,,
,Th?m x2,269,Hi?n,CC - Shopee,,,,,,,,,,,,,
,Household stuff,841,Hi?n,CC - Shopee,,,,,,,,,,,,,
,T? nh? 60cm x 1m,833,Hi?n,CC - Shopee,,,,,,,,,,,,,
,T? l?n 80cm x 17m,1615,Hi?n,CC - Shopee,,,,,,,,,,,,,
,Ti?n ?èn,2800,Hi?n,IDC,,,,,,,,,,,,,
,Ti?n ?èn ph? phí,400,Nga,,,,,,,,,,,,,,
,Ti?n phun thu?c,450,Nga,,,,,,,,,,,,,,
,Giá + rèm + ??,1438,Nga,,,,,,,,,,,,,,
,Dép,81,Nga,,,,,,,,,,,,,,
8-Jan,Wifi - 6 tháng,1529,Hi?n,IDC,,,,,,,,,,,,,
8-Jan,???,834,,,,,,,,,,,,,,,
29-Dec,???,4600,,,,,,,,,,,,,,,
22-Dec,???,1760,,,,,,,,,,,,,,,
23-Dec,???,90,,,,,,,,,,,,,,,
23-Dec,???,80,,,,,,,,,,,,,,,
,," 22,048 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Monthly,,,,,,,,,,,,,,,,
Tháng 12,Ti?n nhà,5000,Hi?n,,,,,,,,,,,,,,
,Ti?n ?i?n,36,Hi?n,,,,,,,,,,,,,,
,Ti?n PQL,,Hi?n,,,,,,,,,,,,,,
,Glamping,48,Hi?n,,,,48,,,,,,,,,,
,Glamping,0,Nga,,,,,,,,,,,,,,
,"KOI, Starbuck, Phúc long",453,Hi?n,,,,143,62,38,136,74,,,,,,
,Ti?n siêu th? ?n hàng,513,Hi?n,,,,44,21,39,20,32,87,83,31,38,80,38
,Ti?n ch?,1202,Hi?n,,,,128,92,26,35,107,455,28,331,,,
,Ti?n qu?n áo,440,Hi?n,,,,440,,,,,,,,,,
,grab,14,Hi?n,,,,14,,,,,,,,,,
,Ti?n h?c,8820,Hi?n,,,,8820,,,,,,,,,,
,Bánh sinh nh?t Lân,407,,,,,407,,,,,,,,,,
23-Dec,x?ng,,,,,,80,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Tháng 1,Ti?n nhà,5000,Hi?n,,,,,,,,,,,,,,
,Ti?n ?i?n,360,Hi?n,,,,,,,,,,,,,,
,Ti?n PQL,502,Hi?n,,,,,,,,,,,,,,
,grab,517,Hi?n,,,,80,185,158,94,,,,,,,
,Ti?n ch?,1061,Hi?n,,,,320,290,119,332,,,,,,,
,Ti?n siêu th? ?n hàng,178,Hi?n,,,,59,76,43,,,,,,,,
,"KOI, Starbuck, Phúc long",100,Hi?n,,,,55,45,,,,,,,,,
,Pay2card on I2B,101,Hi?n,,,,101,,,,,,,,,,
,X?ng,170,Hi?n,,,,90,80,,,,,,,,,
